t,x,y,linear_velocity,heading,angular velocity,avg_velocity,avg_angular_velocity,total_dist
0.0,3.939539678087552,14.610356100296821,0.07250271242148068,143.6597878304066,1.4872741405523016,0.10370548971338872,-2.455964752542005,3.725240554890908
0.03333333333333333,3.9375929498360094,14.611788218972713,0.07591900186833664,143.70936363509168,2.233259323693943,,,
0.06666666666666667,3.9347108105663415,14.613870284613805,0.07864136244338701,144.00760116749063,2.846130121143969,,,
0.1,3.9318375043958484,14.615758287083189,0.07953003152679616,144.28633341076377,-0.1593060535296411,,,
0.13333333333333333,3.929396300903113,14.61735607481311,0.07913174191682085,143.37939235657737,-6.97488140510999,,,
0.16666666666666666,3.9276089089996016,14.619129983503033,0.07720750436112771,141.10222370426627,-15.084176757565324,,,
0.2,3.9265924723149097,14.620848156635688,0.07512365232814433,138.16662920661082,-27.794731233677304,,,
0.23333333333333334,3.9258963207886075,14.622593403548466,0.07245150002965298,133.42697182265465,-40.78861264670631,,,
0.26666666666666666,3.925874637284925,14.624206662144552,0.0699932871565258,128.16918697718907,-50.72927929966756,,,
0.3,3.926128400470797,14.625782000037566,0.06959376393595706,123.49601100464511,-58.9862538288888,,,
0.3333333333333333,3.9264559475579848,14.627957414397176,0.06990520617956167,119.05271018491578,-68.67843101455978,,,
0.36666666666666664,3.926915777096337,14.630336999207273,0.07088255736233204,113.85577599539583,-75.92565445992233,,,
0.4,3.9279499838387384,14.632783328174852,0.07355866894031522,109.15075381312299,-80.90920966296387,,,
0.43333333333333335,3.92923189166724,14.635775044143248,0.07511720381245517,104.9587135967784,-83.91981527450798,,,
0.4666666666666667,3.9303819302827367,14.63851493991366,0.07572049029207294,101.25820473749823,-85.64044211947761,,,
0.5,3.931397271636472,14.64102215336844,0.07558998499920526,97.88733528002476,-86.84530826012274,,,
0.5333333333333333,3.9323445428250965,14.643314669425251,0.07498818933428962,94.63103182916046,-87.00618420675578,,,
0.5666666666666667,3.9333127111419617,14.645421972131961,0.07392688361794089,91.68256290494536,-76.42320529631137,,,
0.6,3.934214611101132,14.64736907153001,0.07652262810168296,92.31001640153497,-64.0892575308771,,,
0.6333333333333333,3.9337537063018577,14.65066649294014,0.08191550060395045,93.87389214680267,-54.28590842069543,,,
0.6666666666666666,3.932413681456653,14.654803246310811,0.08865507150579964,95.00536659916733,-47.30703845426071,,,
0.7,3.9311097079209283,14.65960643102228,0.095431694870292,95.52212630728906,-42.958022250776736,,,
0.7333333333333333,3.930188801964236,14.6647385048615,0.10186717208749406,95.39489709330836,-39.845915653590275,,,
0.7666666666666667,3.9297940995434324,14.670050075465063,0.10934169827228173,95.00033188401129,-36.638359432698486,,,
0.8,3.9296452070205774,14.675935273444887,0.1161608675571202,94.74132010252221,-34.8008226219032,,,
0.8333333333333334,3.9293963420986904,14.681847817979687,0.12316187046329127,94.13255372503069,-32.857070915238836,,,
0.8666666666666667,3.929542150943507,14.688051801337226,0.1292892764414714,93.62044353985537,-31.149555279398037,,,
0.9,3.929648217364293,14.694198750651797,0.13470896555573214,93.09437972129435,-30.299219213719685,,,
0.9333333333333333,3.929823280826815,14.700312450313701,0.13906684051587825,92.3395065672072,-30.51995135108038,,,
0.9666666666666667,3.9302848369124037,14.706237423708657,0.14141765962337682,91.2559552142963,-31.935986716066573,,,
1.0,3.9310854673775024,14.711597122359938,0.14230051403978278,89.7666117142649,-33.109704700166816,,,
1.0333333333333334,3.932266291691763,14.71646413265574,0.14349558984968017,88.31083949569593,-34.9441278073832,,,
1.0666666666666667,3.933578948169111,14.721435460963777,0.144919543869152,86.59570830328491,-38.806469856249564,,,
1.1,3.9352768843283976,14.726411590960428,0.14655771058040185,84.14345669341668,-41.4527638056805,,,
1.1333333333333333,3.9377950288447576,14.731162162158762,0.1466524669433453,81.96780971506472,-39.56643010548053,,,
1.1666666666666667,3.9400739720501683,14.735518968073341,0.14879678415462314,81.21482882160869,-35.588133295733876,,,
1.2,3.9415772006682337,14.740916747165949,0.15296007750612317,81.22204675467489,-31.265780358057,,,
1.2333333333333334,3.9425387752601058,14.747191149682486,0.1589869316048149,81.47655995737605,-26.142027303801093,,,
1.2666666666666666,3.9433104412841473,14.754256756689283,0.16580499179199826,82.14228496352612,-21.346156841473885,,,
1.3,3.9435570346776494,14.761824991533707,0.17246469362028008,82.86950754084182,-17.611922939151345,,,
1.3333333333333333,3.943636194966441,14.769571320741118,0.1773428942531821,83.40271361356687,-14.74880997347708,,,
1.3666666666666667,3.943867644097553,14.776942578014262,0.18251846944390626,83.77002050415325,-11.853822847735291,,,
1.4,3.944257226872443,14.784569255782895,0.18700036525847002,84.24338921361795,-10.278246881914683,,,
1.4333333333333333,3.9444551033443815,14.792144586094336,0.19195957573451186,84.37345377396697,-9.974207304996872,,,
1.4666666666666666,3.945067821763624,14.800007163802448,0.1955318622550683,84.13219207020909,-10.395085870615107,,,
1.5,3.946129200985993,14.807521995111571,0.19875471176259069,83.65942563816978,-11.92085042169803,,,
1.5333333333333334,3.9475251721122793,14.814984562328789,0.2025225315362779,82.80433459212163,-12.893474216885254,,,
1.5666666666666667,3.9495505286811214,14.822600967020602,0.20641709897733965,82.08276497966929,-13.739605418703912,,,
1.6,3.951553764601697,14.830396637880842,0.20915770810168544,81.37093877183356,-14.640326014822996,,,
1.6333333333333333,3.9535756916087816,14.837923915265664,0.21060163469508408,80.61271172583707,-15.882964555086952,,,
1.6666666666666667,3.955656492673236,14.845080795951414,0.2108039713947268,79.71048801192165,-16.7236372718021,,,
